Source,Target,Weight,AuthorName,PlayName
1,5,2,Aeschylus,Agamemnon
1,7,1,Aeschylus,Agamemnon
2,5,1,Aeschylus,Agamemnon
2,7,1,Aeschylus,Agamemnon
4,5,1,Aeschylus,Agamemnon
5,1,1,Aeschylus,Agamemnon
5,2,1,Aeschylus,Agamemnon
5,4,1,Aeschylus,Agamemnon
5,5,1,Aeschylus,Agamemnon
5,7,2,Aeschylus,Agamemnon
5,8,1,Aeschylus,Agamemnon
7,1,1,Aeschylus,Agamemnon
7,2,1,Aeschylus,Agamemnon
7,4,1,Aeschylus,Agamemnon
7,5,1,Aeschylus,Agamemnon
7,8,1,Aeschylus,Agamemnon
8,5,1,Aeschylus,Agamemnon
11,12,1,Aeschylus,Eumenides
11,13,1,Aeschylus,Eumenides
11,293,1,Aeschylus,Eumenides
11,15,1,Aeschylus,Eumenides
12,13,2,Aeschylus,Eumenides
12,292,1,Aeschylus,Eumenides
12,293,1,Aeschylus,Eumenides
12,15,1,Aeschylus,Eumenides
13,11,1,Aeschylus,Eumenides
13,12,1,Aeschylus,Eumenides
13,291,2,Aeschylus,Eumenides
13,13,1,Aeschylus,Eumenides
13,15,1,Aeschylus,Eumenides
14,13,1,Aeschylus,Eumenides
15,11,1,Aeschylus,Eumenides
15,12,2,Aeschylus,Eumenides
17,18,1,Aeschylus,LibationBearers
18,17,1,Aeschylus,LibationBearers
18,294,2,Aeschylus,LibationBearers
18,20,1,Aeschylus,LibationBearers
18,21,1,Aeschylus,LibationBearers
18,22,1,Aeschylus,LibationBearers
19,18,2,Aeschylus,LibationBearers
19,22,1,Aeschylus,LibationBearers
20,18,1,Aeschylus,LibationBearers
20,22,1,Aeschylus,LibationBearers
21,18,1,Aeschylus,LibationBearers
21,22,1,Aeschylus,LibationBearers
22,294,1,Aeschylus,LibationBearers
22,18,1,Aeschylus,LibationBearers
22,19,1,Aeschylus,LibationBearers
22,20,1,Aeschylus,LibationBearers
22,23,1,Aeschylus,LibationBearers
23,22,1,Aeschylus,LibationBearers
25,26,1,Aeschylus,Persians
25,27,1,Aeschylus,Persians
25,28,1,Aeschylus,Persians
26,25,1,Aeschylus,Persians
26,295,1,Aeschylus,Persians
26,26,1,Aeschylus,Persians
26,27,1,Aeschylus,Persians
26,28,1,Aeschylus,Persians
26,29,1,Aeschylus,Persians
27,25,1,Aeschylus,Persians
27,26,1,Aeschylus,Persians
28,25,1,Aeschylus,Persians
28,26,1,Aeschylus,Persians
29,26,1,Aeschylus,Persians
30,33,1,Aeschylus,PrometheusBound
30,36,1,Aeschylus,PrometheusBound
31,297,1,Aeschylus,PrometheusBound
31,36,1,Aeschylus,PrometheusBound
32,36,1,Aeschylus,PrometheusBound
33,296,1,Aeschylus,PrometheusBound
33,36,1,Aeschylus,PrometheusBound
297,31,1,Aeschylus,PrometheusBound
297,36,1,Aeschylus,PrometheusBound
34,36,1,Aeschylus,PrometheusBound
36,296,1,Aeschylus,PrometheusBound
36,30,1,Aeschylus,PrometheusBound
36,32,1,Aeschylus,PrometheusBound
36,33,1,Aeschylus,PrometheusBound
36,34,1,Aeschylus,PrometheusBound
37,40,1,Aeschylus,SevenAgainst
38,298,1,Aeschylus,SevenAgainst
38,38,1,Aeschylus,SevenAgainst
38,39,2,Aeschylus,SevenAgainst
38,43,2,Aeschylus,SevenAgainst
39,298,1,Aeschylus,SevenAgainst
39,38,2,Aeschylus,SevenAgainst
39,43,1,Aeschylus,SevenAgainst
40,37,1,Aeschylus,SevenAgainst
43,38,2,Aeschylus,SevenAgainst
43,39,1,Aeschylus,SevenAgainst
45,46,1,Aeschylus,SuppliantWomen
45,47,1,Aeschylus,SuppliantWomen
45,48,2,Aeschylus,SuppliantWomen
46,45,2,Aeschylus,SuppliantWomen
46,48,1,Aeschylus,SuppliantWomen
47,45,1,Aeschylus,SuppliantWomen
47,48,1,Aeschylus,SuppliantWomen
48,45,2,Aeschylus,SuppliantWomen
48,46,1,Aeschylus,SuppliantWomen
48,47,1,Aeschylus,SuppliantWomen
